app_id,title,release_date,genres,categories,developer,publisher,original_price,discount_percentage,discounted_price,dlc_available,age_rating,win_support,mac_support,linux_support,awards,overall_review_%,overall_review_count
388620,DungeonUp,"4 Sep, 2015","Adventure, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor, Family Sharing",Clewcat Games,Plug In Digital,₹199.00,-75%,₹49.00,0,1,TRUE,TRUE,FALSE,0,83,368
397690,Hyperspace Invaders II: Pixel Edition,"4 Sep, 2015","Action, Indie","Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",Entity Medialab,Plug In Digital,₹199.00,-84%,₹31.00,0,0,TRUE,FALSE,FALSE,0,82,317
687800,Heads Will Roll: Reforged,"4 Oct, 2023",RPG,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",1917 Studios, Valkyrie Initiative,₹658.00,-33%,₹441.00,4,0,TRUE,TRUE,TRUE,0,89,476
2547570,Miss Peach,"4 Oct, 2023","Adventure, Casual, Indie, RPG, Strategy","Single-player, Family Sharing, Profile Features Limited",哐哐Team,哐哐Team,₹250.00,-15%,₹212.00,0,0,TRUE,FALSE,FALSE,0,80,15
2610210,Hidden Prototype Top-Down 3D,"4 Oct, 2023","Action, Adventure, Casual, Indie, Racing, RPG, Simulation, Sports, Strategy","Single-player, Family Sharing, Profile Features Limited",Top-Down Games,Hede,"₹7,900.00",-95%,₹395.00,0,0,TRUE,TRUE,TRUE,0,100,10
2610230,Hidden Western Frontier Top-Down 3D,"4 Oct, 2023","Action, Adventure, Casual, Indie, Racing, RPG, Simulation, Sports, Strategy","Single-player, Steam Achievements, Steam Leaderboards, Family Sharing, Profile Features Limited",Top-Down Games,Hede,"₹7,900.00",-95%,₹395.00,0,0,TRUE,TRUE,TRUE,0,100,10
2079460,Hill Dig: The Mysterious Signal,"4 Oct, 2023","Adventure, Casual, Indie","Single-player, Steam Achievements, Family Sharing, Profile Features Limited",Jérémie Sauvé,Quaternium Games,₹599.00,-75%,₹149.00,0,0,TRUE,FALSE,FALSE,0,,
1152940,Trails of the Black Sun,"4 Oct, 2022","Action, Adventure","Single-player, Family Sharing, Profile Features Limited",Rebel Graphix,Rebel Graphix,₹565.00,-25%,₹424.00,1,0,TRUE,FALSE,FALSE,0,45,11
2147130,Crazy Edition of Stunts,"4 Oct, 2022","Casual, Indie, Racing, Simulation, Sports","Single-player, Family Sharing, Profile Features Limited",Thrift Thrift,Thrift Thrift,₹52.00,-50%,₹26.00,0,0,TRUE,FALSE,FALSE,0,41,12
1414720,Desktop Man,"4 Oct, 2020","Action, Casual, Indie, RPG, Simulation","Single-player, Steam Workshop, Steam Cloud, Family Sharing, Profile Features Limited",DesktopMan Team,DesktopMan Team,₹200.00,-30%,₹140.00,0,0,TRUE,FALSE,FALSE,0,64,14
